B (X5),LCOM (X2),Defects
23,100,106
16,100,79.5
3,88,38.5
19,100,90.5
6,90,54.5
3,88,31
3,94,53.5
3,90,41
4,100,53
3,100,51
5,0,32.5
0,59,15
4,0,20.5
0,75,10
0,0,10
23,96,106
20,92,97.5
0,28,22.5
0,94,5
0,80,15
2,25,16.5
0,100,0
0,100,0
0,58,20
14,77,65.5
8,76,43.5
7,55,44
22,100,54
5,94,45
0,85,5
0,0,2.5
4,90,18
4,90,15.5
0,0,12.5
0,100,12.5
0,0,0
0,100,7.5
0,50,0
0,100,2.5
4,81,48
0,67,7.5
2,97,26.5
0,38,7.5
7,82,39
0,0,27.5
1,0,12
0,0,10
4,0,18
9,73,53
0,89,30
0,100,0
8,75,48.5
101,96,227
0,96,35
0,46,25
0,100,12.5
0,78,12.5
0,0,10
0,0,2.5
0,87,35
0,96,35
0,83,45
2,91,39
5,93,42.5
6,93,42.5
8,81,35
9,80,30
0,95,15
45,94,37.5
45,86,35
40,85,25
0,100,2.5
3,100,2.5
5,100,2.5
0,0,0
7,97,49
0,95,25
12,86,22.5
42,95,134
24,83,78
17,80,66.5
8,87,56
4,0,30.5
6,0,29.5
3,93,28.5
17,0,44
9,0,25.5
0,62,15
0,75,2.5
32,94,119
20,93,80
14,90,75.5
3,74,21
2,83,26.5
0,84,10
6,0,52
19,68,58
13,0,48.5
0,75,17.5
0,0,12.5
0,0,12.5
0,100,2.5
6,90,49.5
0,72,35
2,84,39
0,67,30
1,80,29.5
0,88,25
0,86,32.5
0,100,32.5
0,100,0
0,86,12.5
0,75,25
0,88,25
0,77,30
1,0,12
0,0,5
0,100,0
0,100,0
26,96,77
4,78,45.5
0,73,35
0,100,2.5
6,0,47
0,100,0
11,78,59.5
11,82,59.5
3,83,28.5
0,100,7.5
13,72,46
0,22,20
0,50,10
0,100,0
0,100,7.5
0,100,0
0,70,2.5
0,100,2.5
0,0,0
0,0,0
0,100,0
0,0,2.5
0,100,2.5
0,0,0
0,98,0
0,100,0
